Player,Team,Matchup,Proj Min,Exp Pts,Exp 3P,Exp Reb,Exp Ast,Exp Stl,Exp Blk,Exp TO,Exp PRA
Jaylen Brown,BOS,IND@BOS,33.63,30.8,1.9,6.7,5.1,1.2,0.4,3.8,42.5
Derrick White,BOS,IND@BOS,33.37,19.9,3.8,4.6,5.1,1.3,1.3,2.4,29.6
Payton Pritchard,BOS,IND@BOS,32.55,18.5,3.1,4.8,5.0,0.7,0.1,1.7,28.3
Neemias Queta,BOS,IND@BOS,27.13,11.2,0.0,9.1,1.7,0.8,1.3,1.5,22.0
Anfernee Simons,BOS,IND@BOS,25.43,13.6,2.2,2.4,2.7,0.5,0.1,1.4,18.7
Jordan Walsh,BOS,IND@BOS,22.73,6.7,0.7,5.5,1.1,1.1,0.6,1.1,13.2
Sam Hauser,BOS,IND@BOS,22.22,6.9,2.0,3.8,1.1,0.6,0.3,0.8,11.9
Hugo Gonzalez,BOS,IND@BOS,18.63,3.4,0.3,2.2,1.1,0.4,0.1,0.3,6.7
Josh Minott,BOS,IND@BOS,15.57,5.9,1.0,3.5,1.0,0.8,0.5,0.6,10.5
Baylor Scheierman,BOS,IND@BOS,4.25,1.0,0.2,0.7,0.3,0.2,0.0,0.1,2.1
Max Shulga,BOS,IND@BOS,1.39,0.3,0.0,0.2,0.1,0.0,0.0,0.0,0.5
Luka Garza,BOS,IND@BOS,1.39,0.6,0.1,0.4,0.1,0.0,0.0,0.1,1.1
Amari Williams,BOS,IND@BOS,1.39,0.2,0.0,0.2,0.1,0.0,0.0,0.0,0.5
Ron Harper Jr.,BOS,IND@BOS,1.39,0.4,0.1,0.2,0.1,0.0,0.0,0.0,0.7
Chris Boucher,BOS,IND@BOS,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kon Knueppel,CHA,CHA@CLE,34.09,18.8,3.3,5.7,3.6,0.9,0.3,2.5,28.1
Miles Bridges,CHA,CHA@CLE,32.76,19.4,2.0,5.5,3.3,0.6,0.5,2.0,28.1
Brandon Miller,CHA,CHA@CLE,31.64,21.1,2.8,4.4,3.2,1.1,0.8,2.8,28.6
LaMelo Ball,CHA,CHA@CLE,27.55,20.2,3.1,5.2,7.0,1.1,0.2,2.8,32.4
Moussa Diabate,CHA,CHA@CLE,25.10,7.8,0.0,8.7,1.5,0.9,0.9,1.3,17.9
